data,ano,mes,mes_nome,precipitacao_mm,fonte,seca,grupo_seca,decada
2019-02-01,2019,2,Fev,119.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-03-01,2019,3,Mar,134.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-04-01,2019,4,Abr,124.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-05-01,2019,5,Mai,88.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-06-01,2019,6,Jun,110.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-07-01,2019,7,Jul,70.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-08-01,2019,8,Ago,15.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-09-01,2019,9,Set,45.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-10-01,2019,10,Out,15.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-11-01,2019,11,Nov,279.0,Sr. Luiz (Pluviômetro),0,35,2010
2019-12-01,2019,12,Dez,105.0,Sr. Luiz (Pluviômetro),0,35,2010
2020-01-01,2020,1,Jan,95.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-02-01,2020,2,Fev,191.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-03-01,2020,3,Mar,24.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-04-01,2020,4,Abr,12.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-05-01,2020,5,Mai,61.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-06-01,2020,6,Jun,142.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-07-01,2020,7,Jul,13.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-08-01,2020,8,Ago,130.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-09-01,2020,9,Set,28.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-10-01,2020,10,Out,44.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-11-01,2020,11,Nov,132.0,Sr. Luiz (Pluviômetro),0,35,2020
2020-12-01,2020,12,Dez,165.0,Sr. Luiz (Pluviômetro),0,35,2020
2021-01-01,2021,1,Jan,202.0,Sr. Luiz (Pluviômetro),0,35,2020
2021-02-01,2021,2,Fev,90.0,Sr. Luiz (Pluviômetro),0,35,2020
